,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10419,Ryan Singer,Letters & Numbers,4mckTr0B7Ia46G6PeilvC8,19,2012,comedy,0.669,0.617,4,-7.957,0,0.878,0.791,0.0,0.877,0.696,109.987,65363,1
10420,Louis C.K.,Darlene and Joey,0QreYkJC6l2A4fEOKe8hXt,21,2012,comedy,0.449,0.436,1,-18.315,1,0.936,0.787,0.0,0.667,0.141,79.482,256859,3
10421,The Toilet Bowl Cleaners,Poop and Pee On the Toilet Seat,4AyV8gNhxUTB3bDH2DT42B,20,2012,comedy,0.578,0.485,3,-9.125,1,0.063,0.56,0.0,0.387,0.966,83.474,71240,4
10422,Louis C.K.,20 Year Olds,6uulcR9rErT5Ouf00V2Tc5,21,2012,comedy,0.57,0.438,1,-18.842,1,0.946,0.737,0.0,0.651,0.213,85.73,298000,4
10423,The Toilet Bowl Cleaners,Poop Stuck in My Butt (Best Constipation Song Ever),0hXMO3YPxZ6gVHem1jw2iF,21,2012,comedy,0.832,0.379,0,-8.04,1,0.0448,0.716,0.0,0.0748,0.842,111.424,80773,4
10424,Louis C.K.,Money,7mSz4mB6K5ApuMgWXIdiHr,21,2012,comedy,0.632,0.512,9,-19.12,1,0.94,0.724,0.0,0.783,0.485,93.843,59500,4
10425,Stephen Lynch,So This Is Outer Space?,5WtCr75SH2pCV9q4n3cVHU,20,2012,comedy,0.389,0.411,4,-9.231,1,0.0317,0.624,0.000396,0.151,0.312,165.065,295413,4
10426,Louis C.K.,Unhealthy Father,4skBFK1zh91V9ddWBMmhvO,21,2012,comedy,0.583,0.417,1,-20.435,1,0.91,0.757,0.0,0.734,0.137,111.637,470167,5
10427,Kenn Kington,Me We She We,4Orpk1jAgBs0Mo7h43ibJl,18,2012,comedy,0.586,0.31,9,-21.647,1,0.93,0.942,0.0,0.686,0.258,99.566,82348,5
10428,Louis C.K.,Civic Pride and Civic Rivalry,0IixeuFxlxtS5NknYOSUst,21,2012,comedy,0.535,0.55,1,-17.086,1,0.947,0.802,0.0,0.656,0.218,79.05,141141,3
10429,Louis C.K.,I Could Ruin Your Night,68RZIVvNN3Ob3Gdsdpt4CL,21,2012,comedy,0.615,0.538,1,-18.082,1,0.948,0.808,0.0,0.441,0.261,95.223,75500,1
10430,Ryan Singer,Proud of Us,2dkrkBmYVDnrYfw3KqaIt3,18,2012,comedy,0.75,0.507,9,-9.113,1,0.906,0.776,0.0,0.584,0.84,77.505,70076,3
10431,Louis C.K.,The Right to Complain,2rFNpYfg50vIfchQYslVUz,21,2012,comedy,0.63,0.476,1,-17.236,1,0.919,0.786,0.0,0.406,0.289,103.668,164625,4
10432,Patrice O'Neal,Side Pussy,6jrDJXMumQRLk2aHjznjr3,16,2012,comedy,0.614,0.621,1,-11.839,1,0.944,0.853,0.0,0.848,0.655,109.765,257945,4
10433,Stephen Lynch,Lion,2uPC12uPnSIvI33syVUhTC,20,2012,comedy,0.702,0.539,7,-5.979,1,0.0719,0.675,0.0,0.458,0.65,134.825,248813,4
10434,George Lopez,Ethnic Shopping,1CeRKY1UgQYgoxw3w9PXiv,17,2012,comedy,0.412,0.973,5,-6.464,0,0.868,0.889,7.92e-06,0.943,0.0379,103.237,171973,4
10435,George Lopez,I Don't Snore!,5fpnZtwAopGoEX2vRcqwvr,16,2012,comedy,0.387,0.987,2,-6.576,1,0.93,0.896,3.32e-05,0.946,0.0345,87.916,485800,3
10436,Louis C.K.,Three 5 Year Olds,0gffcyMJW3xROn0NW7MzMn,21,2012,comedy,0.549,0.355,1,-19.975,1,0.936,0.755,0.0,0.651,0.262,82.59,263538,4
10437,Gmcfosho,Imdabes,1ExT2IobvisyruAWTmlhoS,18,2012,comedy,0.723,0.123,6,-13.985,1,0.654,0.958,1.62e-05,0.0903,0.581,129.546,220500,4
10438,Jon Lajoie,Wtf Collective 3,5ltoy6tYTwgSF6yhdM5rXl,24,2012,comedy,0.756,0.85,7,-3.664,1,0.178,0.113,0.0,0.315,0.254,90.03,249713,4
10439,Robert Kelly,Happy to Hate,6MJB89frHUhfOeMsVXhMtN,17,2012,comedy,0.637,0.648,10,-6.395,0,0.945,0.349,0.0,0.922,0.532,72.183,55634,4
